event_id,clip_id,event_label,start_ms,impact_ms,end_ms,confidence,notes
urfd_fall-01_impact,fall-01,impact_or_floor_contact,2733,3733,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-02_impact,fall-02,impact_or_floor_contact,1300,2300,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-03_impact,fall-03,impact_or_floor_contact,4900,5900,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-04_impact,fall-04,impact_or_floor_contact,433,1433,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-05_impact,fall-05,impact_or_floor_contact,2600,3600,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-06_impact,fall-06,impact_or_floor_contact,333,1333,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-07_impact,fall-07,impact_or_floor_contact,2800,3800,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-08_impact,fall-08,impact_or_floor_contact,967,1967,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-09_impact,fall-09,impact_or_floor_contact,4000,5000,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-10_impact,fall-10,impact_or_floor_contact,1300,2300,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-11_impact,fall-11,impact_or_floor_contact,1600,2600,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-12_impact,fall-12,impact_or_floor_contact,800,1800,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-13_impact,fall-13,impact_or_floor_contact,1433,2433,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-14_impact,fall-14,impact_or_floor_contact,500,1500,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-15_impact,fall-15,impact_or_floor_contact,900,1900,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-16_impact,fall-16,impact_or_floor_contact,533,1533,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-17_impact,fall-17,impact_or_floor_contact,1933,2933,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-18_impact,fall-18,impact_or_floor_contact,500,1500,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-19_impact,fall-19,impact_or_floor_contact,800,1800,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-20_impact,fall-20,impact_or_floor_contact,567,1567,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-21_impact,fall-21,impact_or_floor_contact,667,1667,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-22_impact,fall-22,impact_or_floor_contact,100,1100,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-23_impact,fall-23,impact_or_floor_contact,867,1867,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-24_impact,fall-24,impact_or_floor_contact,367,1367,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-25_impact,fall-25,impact_or_floor_contact,1467,2467,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-26_impact,fall-26,impact_or_floor_contact,400,1400,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-27_impact,fall-27,impact_or_floor_contact,1667,2667,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-28_impact,fall-28,impact_or_floor_contact,867,1867,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-29_impact,fall-29,impact_or_floor_contact,1600,2600,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
urfd_fall-30_impact,fall-30,impact_or_floor_contact,800,1800,,1.0,first lying-labeled frame in urfall-cam0-falls.csv
